title_id,title,genre,weekdays,length,subscribers,rating,views,likes,status,daily_pass,author,synopsis
7888,From Old Country Bumpkin to Master Swordsman,GRAPHIC_NOVEL,"WEDNESDAY,SATURDAY",5,36557,7.66,218062,16137,ONGOING,FALSE,"Shigeru Sagazaki,Tetsuhiro Nabeshima,Kazuki Sato","Middleaged Beryl Gardenant has only ever accomplished one thing: running a humble swordfighting dojo in the quiet countryside. But when he paid a visit by his former pupil, Allucia, he discovers that she has become an elite commander and she hardly the only exstudent who a renowned warrior! Now forced by Allucia to become a special instructor to the strongest order of knights in the kingdom, can Beryl reach his full potential even though he an old man?"
7830,Emperor of Solo Play,ACTION,SATURDAY,4,39401,8.67,164201,10051,ONGOING,FALSE,"silvering26,S.sin,Dedart","Betrayed by his guild and defeated by a top player, Hyrkan loses everything. Before he can get revenge, a fatal accident ends his life only for him to wake up years in the past, back at the start of Warlord. Now, with his memories intact, he determined to rise to the top alone. But in a game where power means everything, can he truly survive without any allies? The Emperor of Solo Play is back, and this time, he playing by his own rules."
7829,The Veteran Healer is Overpowered,FANTASY,WEDNESDAY,9,139218,8.67,1212622,96436,ONGOING,FALSE,"jd,Kang Hari,IwantIt","Top Korean hunter Siu 'The Rabid Hound' Min defeated the Demon Lord with his disciples, only to be trapped in a monsterfilled otherworld for 100 years.However, a century of struggles did not break Siu it drove him to break his limits instead.Now, he returns to Earth with Pred, his mysterious partner, only to learn that his name and legacy have been erased, along with his disciples and that only 10 years have passed on Earth. As new conflicts arise, will Siu and Pred prevail and uncover the truth?"
7818,Rise of the Devourer,ACTION,FRIDAY,8,59973,9.03,418804,30520,ONGOING,FALSE,"AETHON,KrazeKode,Kisai Entertainment,Sauerkraut,Laurel Pursuit","Noah Brown has a gift for fighting. Unfortunately, punching things doesn't pay his bills. At least, that was the case until he dies and an Eldritch god finds his soul. The strange encounter brings him to a new world, summoned by bloody cultists. He got nothing but the shirt on his back and a strange item of unknown power he isn yet sure how to use. If he wants to survive, maybe even thrive, perhaps it's time he finally put his gift to good use. Art by Kisai Entertainment."
7780,Miro in Memory,FANTASY,THURSDAY,5,24035,9.53,78739,8651,ONGOING,FALSE,YU ISU,"Haechan dreams of becoming a hero, saving Korea from the deadly Calamities. But as a powerless guard, he is seen as a weakling. That is, until he meets Miro, a mysterious girl who offers him immense power in exchange for his help in destroying the sacred Seal Talismans the true source of the Calamities wrath. Now, Haechan must embark on a dangerous mission to free the world from its torment, all while living a double life filled with secrecy, betrayal, and a growing conflict between heroism and villainy."
7779,No Kids Zone,SF,SUNDAY,7,25673,9.47,140759,14944,ONGOING,FALSE,"MemeMachine,RIGHT HAND","Doesn every child dream of a world without grownups? But when a deadly virus wipes out everyone over the age of twenty, reality proves to be far more sinister than a childhood fantasy.By the time Noeul turns eight, he is already familiar with the virus and the mysterious monsters that roam the land. When his mother passes away and his village comes under threat, he sets out on a journey to find ""Utopia,"" a rumored safe haven said to hold the cure for the virus.But this socalled ""Utopia"" may not be what it seems"
7778,Justice Deserved,ACTION,TUESDAY,8,23341,8.62,147257,10980,ONGOING,FALSE,LEE Sihyun,"Ever feel like the legal system's punishment just isn't enough? Taepil Kim knows that feeling better than anyone. Ever since he was slapped with ten years in prison for retaliating against two burglars who killed his wife and left his son in a coma, he stopped having faith in the kind of justice the judicial system could bring. But one day, he given the opportunity to become a Punisher a governmentauthorized vigilante who acts according to the Code of Hammurabi. The bad guys better watch out now, because Taepil is determined to give them a taste of their own medicine"
7753,Her Tale of Shim Chong,ROMANCE,FRIDAY,4,60923,9.54,527447,71454,COMPLETED,TRUE,"seri,biwan","Based on a Korean folktale, two very different women find themselves making the same wish to leave this world behind. One is Shim Chong, a young beggar living off the kindness of others to support herself and her blind father. The other is the bridetobe of old Chancellor Jang, sold off to him for the sake of her family. When Shim Chong rescues this new bride from the river, their relationship triggers both love and hidden intentions. But will these two women be able to find their way forth in a world that favors men?"
7699,Im Not a Soccer Genius!,SPORTS,FRIDAY,5,29162,9.06,171882,11691,ONGOING,FALSE,"Lee bote,Han","Suit up Jian is an Italian soccer league benchwarmer who needs to convince his childhood friend that he's a star player. A lucky goal or two might do the trick, but how long can he keep up the ruse? Unless, unbeknownst to him, Jian really is a genius"
7698,Lord of the Fists,ACTION,THURSDAY,9,19486,8.19,125131,7442,ONGOING,FALSE,"MAJOR,Kihyuck Kum","Remember when high school drama felt way more serious than it really was? Well, in Taeyang City, there a little more on the line than gossip and hurt feelings. It more about loose teeth and broken jaws! With every high school in town ruled by a gang of hardknock delinquents, the top dogs fight for dominance and the elusive title of Myeongwang,the greatest high school fighter of them all. At first, transfer student Ujae wants nothing to do with this, but he is soon dragged back into gang life to settle a score with the notorious Sunrise gang"
7697,Ex-Love Review,ROMANCE,THURSDAY,11,356276,9.28,5539678,345736,ONGOING,FALSE,"Pyeonggang,La Hee","Giju is highly competent, but when it comes to love, she always seems to choose the wrong guy.This time, she thought things would be different. But again her faith is betrayed, and during a heated argument, she ends up falling down a flight of stairs.When she awakens in the hospital, she starts seeing suspicious relationship reviews of others!Love reviews written by their former exes?Could this strange phenomenon be able to save Giju love life?"
7695,I Will Protect My Tyrant Dad!,FANTASY,SATURDAY,11,122366,9.22,1411641,130835,ONGOING,FALSE,"sangume,hd,ZD,yoonaran",Sien is your average adorable kid living in the country with her kind dad or so she thought. It turns out her dad is actually an heir of a grand duke banished from an evil family! Sien will do anything to protect her innocent dad from the wickedness that awaits them. Join Sien on her adventure to keep her tyrant dad safe!
7694,There Are No Bad Warriors in This World,ACTION,FRIDAY,8,45537,9.4,323559,32413,ONGOING,FALSE,"Yuryeongdubu,HANSO","Hyeonseok Choi finally becomes the undisputed heavyweight MMA champion of the world, but gets hit by a truck, and dies. A fairy, Rahel, appears and convinces him to fight as a hero in the afterlife, but accidentally sends him to the side of the demons. Stuck in the demon world, he sweet talks his way into positions of power, but slowly discovers this battle between good and evil isn't as clearcut as it seems."
